Format,Size,Minify,Gzip,Score,LCP (s),FID (ms),CLS (s),FCP (s),SI (s),TTI (s),User CPU (%),System CPU (%),Memory RSS (Kb),Heap Total (Kb),Heap Used (Kb),JS Heap Used Size (Kb),JS Heap Total Size (Kb)
html,extra-small,0,0,77,1.5318757,16,0.63028937465347,1.2308757000000001,1.2308757000000001,1.5318757,23173.033,2189.016,374064,152384,122403.5546875,122403.5546875,152384
html,extra-small,0,0,77,1.5317901999999999,16,0.63028937465347,1.2327902,1.2327902,1.5317901999999999,23682.059,2242.488,374192,171584,124875.8828125,124875.8828125,171584
html,extra-small,0,0,77,1.53184695,16,0.631366908112386,1.23284695,1.23284695,1.53184695,24119.892,2285.516,373168,189488,109629.875,109629.875,189488
html,extra-small,0,0,77,1.53177765,16,0.63028937465347,1.23277765,1.23277765,1.53177765,24675.639,2335.334,373152,147488,109061.0625,109061.0625,147488
html,extra-small,0,0,77,1.53189905,16,0.63028937465347,1.2328990499999999,1.2328990499999999,1.53189905,25389.351,2402.089,355280,147264,117282.515625,117282.515625,147264
html,extra-small,0,0,77,1.53216445,16,0.63028937465347,1.23416445,1.23416445,1.53216445,25842.215,2447.258,354256,185120,104896.3515625,104896.3515625,185120
html,extra-small,0,0,76,1.5317546499999999,16,0.8195356856236289,1.22875465,1.22875465,1.5317546499999999,26363.035,2496.98,355360,192592,119516.515625,119516.515625,192592
html,extra-small,0,0,77,1.53206565,16,0.63028937465347,1.23206565,1.23206565,1.53206565,26867.722,2545.351,355376,173120,118717.2265625,118717.2265625,173120
html,extra-small,0,0,77,1.5318211000000002,16,0.6458192643528542,1.2328211000000002,1.2328211000000002,1.5318211000000002,27314.583,2589.733,354384,185904,111423.5390625,111423.5390625,185904
html,extra-small,0,0,77,1.5317852,16,0.6458192643528542,1.2317852,1.2317852,1.5317852000000003,27889.671,2641.689,354384,154416,103552.8046875,103552.8046875,154416
html,extra-small,0,1,77,0.93432185,16,0.641321987664081,0.6383218500000001,0.6383218500000001,0.93432185,28442.681,2699.106,355200,165728,122152.5234375,122152.5234375,165728
html,extra-small,0,1,77,0.9322288999999999,16,0.641321987664081,0.6352289,0.6352289,0.9322289,28916.577,2746.728,355264,186944,105953.921875,105953.921875,186944
html,extra-small,0,1,77,0.93204785,16,0.63028937465347,0.6310478500000001,0.6310478500000001,0.93204785,29396.498,2791.859,355264,185664,110989.171875,110989.171875,185664
html,extra-small,0,1,77,0.93212885,16,0.6524994514790801,0.6291288500000001,0.6291288500000001,0.93212885,29995.434,2846.083,356320,149856,124288.6875,124288.6875,149856
html,extra-small,0,1,77,0.9320906,16,0.63028937465347,0.6330906,0.6330906,0.9320906,30523.623,2897.203,356320,162912,121543.3359375,121543.3359375,162912
html,extra-small,0,1,76,1.1122495,16,0.7957227251009522,0.6332495,0.6332495,1.1122495,31012.992,2949.169,355360,186688,102862.1796875,102862.1796875,186688
html,extra-small,0,1,77,0.9324462499999999,16,0.63028937465347,0.63544625,0.63544625,0.9324462499999999,31510.681,2995.882,356416,176992,123914.46875,123914.46875,176992
html,extra-small,0,1,77,0.9320381,16,0.63028937465347,0.6300380999999999,0.6300380999999999,0.9320381,31935.137,3045.262,359808,258704,233859.4453125,233859.4453125,258704
html,extra-small,0,1,77,0.9321384,16,0.63028937465347,0.6331384000000001,0.6331384000000001,0.9321384,32462.313,3095.068,356448,177760,124641.6875,124641.6875,177760
html,extra-small,0,1,77,0.9321636999999999,16,0.63028937465347,0.6341637,0.6341637,0.9321636999999999,33038.291,3146.246,355392,149056,109301.0546875,109301.0546875,149056
json,small,0,0,74,11.639236499999999,16,0,1.5789422000000002,1.5789422000000002,11.661736500000002,33916.692,3251.242,368480,259952,232864.6640625,232864.6640625,259952
json,small,0,0,74,11.642847600000001,16,0,1.5796614750000004,1.5796614750000004,11.6653476,34833.491,3380.786,463664,260992,236241.296875,236241.296875,260992
json,small,0,0,74,11.6395124,16,0,1.5791753,1.5791753,11.6620124,35733.896,3487.011,483840,258432,225302.328125,225302.328125,258432
json,small,0,0,74,11.63940345,16,0,1.5792064249999997,1.5792064249999997,11.661903450000002,36621.906,3595.534,492896,262272,217632.921875,217632.921875,262272
json,small,0,0,74,11.64107475,16,0,1.5796799999999998,1.5796799999999998,11.66357475,37480.72,3699.185,492912,257920,222193.0234375,222193.0234375,257920
json,small,0,0,74,11.63957755,16,0,1.5793175999999998,1.5793175999999998,11.662077550000001,38339.665,3808.842,501120,274224,227431.328125,227431.328125,274224
json,small,0,0,74,11.6389083,16,0,1.5789309500000002,1.5789309500000002,11.661408300000002,39189.638,3916.626,503264,283520,226729.7265625,226729.7265625,283520
json,small,0,0,74,11.6419537,16,0,1.5809065750000002,1.5809065750000002,11.664453700000001,40049.15,4024.263,503376,281728,223992.9765625,223992.9765625,281728
json,small,0,0,74,11.63943405,16,0,1.5792495,1.5792495,11.66193405,40901.142,4131.358,503408,270720,223328.9921875,223328.9921875,270720
json,small,0,0,74,11.638753000000001,16,0,1.5791638499999996,1.5791638499999996,11.661253,41745.5,4238.766,503440,261248,233262,233262,261248
json,small,0,1,97,2.4795093750000006,16,0,1.5787056750000001,1.5787056750000001,2.5020115575000004,42566.783,4343.776,501536,262608,219817.53125,219817.53125,262608
json,small,0,1,97,2.4804260250000003,16,0,1.5794534249999999,1.5794534249999999,2.5029288825000005,43394.666,4450.028,501568,271568,224570.84375,224570.84375,271568
json,small,0,1,97,2.480076525,16,0,1.5791718500000003,1.5791718500000003,2.5025789775000002,44214.743,4556.437,501568,268752,220691.84375,220691.84375,268752
json,small,0,1,97,2.4811077749999995,16,0,1.5800322999999998,1.5800322999999998,2.5036101824999997,45098.668,4663.377,501664,269024,225531.34375,225531.34375,269024
json,small,0,1,97,2.480227425,16,0,1.5793169500000002,1.5793169500000002,2.5027290675000002,45935.93,4765.183,501648,274640,223382.84375,223382.84375,274640
json,small,0,1,97,2.48123625,16,0,1.5801302249999998,1.5801302249999998,2.50373904,46790.285,4873.964,501712,276944,226511.125,226511.125,276944
json,small,0,1,97,2.479771425,16,0,1.578922975,1.578922975,2.5022736525000004,47654.455,4981.088,501712,285120,220504.6171875,220504.6171875,285120
json,small,0,1,97,2.4801528,16,0,1.5792338,1.5792338,2.5026553199999997,48478.646,5086.581,501792,282832,229017.5,229017.5,282832
json,small,0,1,97,2.480002425000001,16,0,1.5791090250000002,1.5791090250000002,2.502504922500001,49298.232,5192.131,501808,279776,220723.25,220723.25,279776
json,small,0,1,97,2.481731624999999,16,0,1.5805478749999997,1.5805478749999997,2.5042342125,50136.205,5295.674,501856,283600,224373.515625,224373.515625,283600
json,small,1,0,77,6.4605357,16,0,1.5794098999999997,1.5794098999999997,6.490535700000001,50969.204,5398.568,502800,286592,225338.9140625,225338.9140625,286592
json,small,1,0,77,6.4643755999999994,16,0,1.5792896499999998,1.5792896499999998,6.4943756,51919.526,5514.235,503984,282240,228329.5546875,228329.5546875,282240
json,small,1,0,77,6.4615187999999995,16,0,1.5789770749999998,1.5789770749999998,6.4915188,52753.309,5620.154,504000,301152,220239.9140625,220239.9140625,301152
json,small,1,0,77,6.4599858999999995,16,0,1.5792688499999998,1.5792688499999998,6.4899859,53598.878,5720.674,504048,313472,215103.515625,215103.515625,313472
json,small,1,0,77,6.4611391000000005,16,0,1.5790022750000001,1.5790022750000001,6.491139100000001,54430.345,5824.568,504032,300144,218745.6171875,218745.6171875,300144
json,small,1,0,77,6.461642400000001,16,0,1.580505675,1.580505675,6.491642400000001,55271.323,5932.845,504048,292464,226131.390625,226131.390625,292464
